Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 2/28/2019)
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2017-18,OnsetToDeath,6,12,7.4
2017-18,OnsetToDeath,7,12,7.4
2017-18,OnsetToDeath,8,5,3.1
2017-18,OnsetToDeath,9,6,3.7
2017-18,OnsetToDeath,10,5,3.1
2017-18,OnsetToDeath,11,3,1.8
2017-18,OnsetToDeath,12,5,3.1
2017-18,OnsetToDeath,14,4,2.5
2017-18,OnsetToDeath,16,1,0.6
2017-18,OnsetToDeath,17,1,0.6
2017-18,OnsetToDeath,18,2,1.2
2017-18,OnsetToDeath,20,1,0.6
2017-18,OnsetToDeath,22,1,0.6
2017-18,OnsetToDeath,24,4,2.5
2017-18,OnsetToDeath,25,1,0.6
2017-18,OnsetToDeath,26,1,0.6
2017-18,OnsetToDeath,27,3,1.8
2017-18,OnsetToDeath,30+,11,6.7
2017-18,Location of Death,Outside Hospital,31,16.8
2017-18,Location of Death,Emergency Department,52,28.1
2017-18,Location of Death,Hospital Admitted,102,55.1
2018-19,AgeGroup,0-5 mo,1,2.4
2018-19,AgeGroup,6-23 mo,6,14.6
2018-19,AgeGroup,2-4 yr,12,29.3
2018-19,AgeGroup,5-11 yr,17,41.5
2018-19,AgeGroup,12-17 yr,5,12.2
2018-19,Sex,Male,15,36.6
2018-19,Sex,Female,26,63.4
2018-19,Conditions,Yes       ,16,41
2018-19,Conditions,No        ,23,59
2018-19,Bacterial Coinfectio,Yes       ,8,50
2018-19,Bacterial Coinfectio,No        ,8,50
2018-19,OnsetToDeath,0,1,2.7
2018-19,OnsetToDeath,1,5,13.5
2018-19,OnsetToDeath,2,5,13.5
2018-19,OnsetToDeath,3,8,21.6
2018-19,OnsetToDeath,4,2,5.4
2018-19,OnsetToDeath,5,6,16.2
2018-19,OnsetToDeath,6,3,8.1
2018-19,OnsetToDeath,8,2,5.4
2018-19,OnsetToDeath,10,1,2.7
2018-19,OnsetToDeath,12,1,2.7
2018-19,OnsetToDeath,13,1,2.7
2018-19,OnsetToDeath,17,1,2.7
2018-19,OnsetToDeath,30+,1,2.7
2018-19,Location of Death,Outside Hospital,4,10
2018-19,Location of Death,Emergency Department,14,35
2018-19,Location of Death,Hospital Admitted,22,55
