"","id","text","queryMetadata.query","created_at","user.screen_name","longitude","latitude","state","city"
"219",1082332733945335808,"El Diario NY: Periodista en contra de las vacunas muere de gripe H1N1 a los 26 años. https://eldiariony.com/2019/01/07/periodista-en-contra-de-las-vacunas-muere-de-gripe-h1n1-a-los-26-anos/ … a través de
@
GoogleNews","H1N1","2019-01-07T12:46:47Z","Douglas_XPC",-95.712891,37.09024,"Kansas","Jefferson"
"253",1082137846759051264,"sino yan??","H1N1","2019-01-06T23:52:22Z","H1N1_Briel",-95.6235557,37.0326709,"Kansas","Coffeyville"
"376",1081684278478540800,"Activista antivacunas fallece por Influenza H1N1 http://ow.ly/zGcL30ncBZk","H1N1","2019-01-05T17:50:03Z","nomadadigital",-122.3574177,47.6181529,"Washington","Seattle"
"410",1081628397070151680,"La periodista de Fox News
@
Bre_Payton era ""anti-vacunas"": decía que ""las vacunas son del diablo"". Acaba de morir por complicaciones de gripe porcina (influenza H1N1), enfermedad prevenible por vacunación. Las vacunas salvan vidas y previenen tragedias como esta. pic.twitter.com/HRRNZr3Saf","H1N1","2019-01-05T14:08:00Z","victorfyt",-122.0560453,37.8908607,"California","Walnut Creek"
"411",1081628207370170368,"Cómo hubiese sido el titular si la pastel hubiese sido de ultraizquierda? ""Joven periodista muere víctima de fiebre H1N1"" No nos hubiésemos enterado ni que era de izq, ni que era antivacunas...","H1N1","2019-01-05T14:07:14Z","Pelu_Fritz",-75.1666,39.9627807,"Pennsylvania","Philadelphia"
"487",1081506385869922304,"Lo que no dice la nota es que la gente joven casi ni se vacuna contra la gripe. Es propio de gente de más de 65. No hubo alarma de H1N1 ni nada de eso. No es como el 2009. Mucha mala leche. Antivaxxer o no difícilmente se habría vacunado una chica de su edad.","H1N1","2019-01-05T06:03:10Z","SmirkingVlad",-122.315191,47.6299405,"Washington","Seattle"
"511",1081459388378951680,"Hold it, no necesariamente Manuka honey puede con el H1N1.","H1N1","2019-01-05T02:56:25Z","NikkieGP",-74.0059728,40.7127753,"New York","New York City"
"515",1081451304025812992,"Si se vacuanra todos los años estaría parcialmente cubierta. La gripe porcina que se refiere en el artículo también la refiere H1N1, y son los grupos de marcadores de superficie de las diferentes ""razas"" de virus de la gripe. Si se hubiese vacunado con H5N1 estaría protegida","H1N1","2019-01-05T02:24:17Z","Siranido",-117.1571637,32.7095643,"California","San Diego"
"524",1081439719240671232,"Periodista contra uso de vacunas murió por gripe H1N1 http://www.milenio.com/ciencia-y-salud/periodista-antivacunas-murio-por-gripe-h1n1 …","H1N1","2019-01-05T01:38:15Z","HRiosNavarrete",-77.0315403,38.9147011,"District of Columbia","Washington"
"527",1081426312349302784,"Activista antivacunas fallece por Influenza H1N1 | 24 Horas https://bit.ly/2Vwieek","H1N1","2019-01-05T00:44:59Z","KaBukiCk",-97.3247376,37.8052511,"Kansas","Park City"
"561",1.081398470379e+18,"Joven activista antivacunas muere de H1N1 y meningitis https://www.elnuevodia.com/noticias/eeuu/nota/jovenactivistaantivacunasmueredeh1n1ymeningitis-2469057/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1546632104 …","H1N1","2019-01-04T22:54:21Z","luis__aner",-118.2436849,34.0522342,"California","Los Angeles"
"606",1081361377632096256,"No manche señora, usted casi viene a que le curen la H1N1 a un simi y todavia reniega por que le cobran 45 miserables pesos. No la chingue","H1N1","2019-01-04T20:26:57Z","TheArturoLA",-82.2325695,40.6356248,"Ohio","Loudonville"
"611",1081359425040977920,"El tema es que los jóvenes casi ni se vacunan contra la gripe. Y no había alerta de H1N1, no es nada parecido al 2009. Le podría haber pasado a cualquiera, antivacunas o no. Hubo una medica abortera americana ultra conocida que se mofo de esta chica con el mismo argumento.","H1N1","2019-01-04T20:19:12Z","SmirkingVlad",-122.315191,47.6299405,"Washington","Seattle"
"613",1081357398634364928,"Joven activista antivacunas muere de H1N1 y meningitis
@
ElNuevoDiahttps://www.elnuevodia.com/noticias/eeuu/nota/jovenactivistaantivacunasmueredeh1n1ymeningitis-2469057/ …","H1N1","2019-01-04T20:11:09Z","Mari231616",-80.2225105,25.9948579,"Florida","Miramar"
"627",1081350519363268608,"Periodista antivacunas murió a causa de la gripe H1N1 http://www.milenio.com/ciencia-y-salud/periodista-antivacunas-murio-por-gripe-h1n1 …","H1N1","2019-01-04T19:43:48Z","drdebebes",-83.2841304,42.542714,"Michigan","Bloomfield Township"
"651",1081328040012144640,"Periodista en contra de las vacunas muere de gripe H1N1 a los 26 años https://mvsnoticias.com/noticias/internacionales/periodista-en-contra-de-las-vacunas-muere-de-gripe-h1n1-a-los-26-anos/ …","H1N1","2019-01-04T18:14:29Z","LaSuperLatinaHV",-73.9209701,41.7003713,"New York","Poughkeepsie"
"653",1081326980237266944,"Estados Unidos: una periodista #""antivacunas"" murió por gripe H1N1 https://el-periodico.com.ar/noticia/63735/estados-unidos-una-periodista-antivacunas-murio-por-gripe-h1n1#.XC_nzRDbt38.twitter …","H1N1","2019-01-04T18:10:16Z","elperiodicosf",-122.4194155,37.7749295,"California","San Francisco"
"695",1081288610899509248,"Fue de H1N1. El problema con la estupidez del movimiento antivacunas es que no solo ellos se ponen en peligro. Como mínimo, también ponen en peligro a la comunidad en la que viven. https://twitter.com/elmundoes/status/1081171224988930049 …","H1N1","2019-01-04T15:37:48Z","JairGarcia297",-81.826655,26.4559994,"Florida","Riverwoods Plantation"
"696",1081288436068298752,"Periodista antivacunas muere de gripe porcina H1N1 https://misesreport.com/periodista-antivacunas-muere-de-gripe-porcina-h1n1/ …","H1N1","2019-01-04T15:37:07Z","ajoza",-95.3698028,29.7604267,"Texas","Houston"
"742",1081255544621535232,"La joven periodista de EE.UU. que se declaró antivacunas y falleció de H1N1 https://www.latercera.com/que-pasa/noticia/la-joven-periodista-de-ee-uu-que-se-declaro-antivacuna-y-fallecio-de-h1n1/469679/ …","H1N1","2019-01-04T13:26:25Z","afrmex",-94.6669525,29.7858129,"Texas","Anahuac"
"743",1081255363243053056,"Bre Payton, una joven periodista americana de 26 años, murió el pasado 28 de diciembre de forma repentina a causa de la gripe H1N1, comúnmente conocida como gripe porcina.
#
reduniversal
#
live
#
love
#
librealbedrio
#
dead
#
vacunas
#
ReyesMagos
#
FelizFinde
#
CommunityManagement
#
SEOhttps://twitter.com/La_SER/status/1081245122744922114 …","H1N1","2019-01-04T13:25:42Z","reduniversal",-95.712891,37.09024,"Kansas","Jefferson"
"748",1081251314514849792,"Periodista antivacunas muere de Gripe H1N1 http://dlvr.it/QvzKNW pic.twitter.com/DFtpgp8q2s","H1N1","2019-01-04T13:09:36Z","notife_noticias",-105.937799,35.6869752,"New Mexico","Santa Fe"
"759",1081243154135699456,"La joven periodista antivacunas que falleció de H1N1 http://www.msn.com/es-us/noticias/mundo/la-joven-periodista-de-ee-uu-que-se-declar%C3%B3-antivacunas-y-falleci%C3%B3-de-h1n1/ar-BBRM7vG?ocid=ob-tw-esus-683 …","H1N1","2019-01-04T12:37:11Z","msnlatino",-122.2015159,47.6101497,"Washington","Bellevue"
"764",1081237861247139840,"La joven periodista de EE.UU. que se declaró antivacunas y falleció de H1N1 https://www.latercera.com/que-pasa/noticia/la-joven-periodista-de-ee-uu-que-se-declaro-antivacuna-y-fallecio-de-h1n1/469679/ …","H1N1","2019-01-04T12:16:09Z","juaneldeljarro",-122.4194155,37.7749295,"California","San Francisco"
"770",1081233898145640448,"La presentadora de Fox News murió el pasado 28 de diciembre en San Diego (California) a los 26 años. La causa, según su familia, fue la gripe H1N1 o gripe porcina, agravada por una meningitis. https://elpais.com/sociedad/2019/01/04/actualidad/1546613323_484502.html …","H1N1","2019-01-04T12:00:24Z","elguardian_us",-122.7140548,38.440429,"California","Santa Rosa"
"782",1081221937718837248,"La joven periodista de EE.UU. que se declaró antivacunas y falleció de H1N1 https://www.latercera.com/que-pasa/noticia/la-joven-periodista-de-ee-uu-que-se-declaro-antivacuna-y-fallecio-de-h1n1/469679/?fbclid=IwAR2KAHYKH3yZnVOllA1oeF4Tq4vXxkzA3qU3my_rgsTjxBOG55W-t1xBTjM …","H1N1","2019-01-04T11:12:52Z","tatolopera",-97.5987575,35.2879274,"Oklahoma","Newcastle"
"823",1081186367047122944,"Las vacunas son el demonio, decía. Esto viene d creencias religiosas conservadoras. La joven periodista de EE.UU. que se declaró antivacunas y falleció de H1N1 https://www.latercera.com/que-pasa/noticia/la-joven-periodista-de-ee-uu-que-se-declaro-antivacuna-y-fallecio-de-h1n1/469679/ …","H1N1","2019-01-04T08:51:32Z","AnglicaVillarN1",-74.2232726,40.6696055,"New Jersey","Union"
"829",1081182928829337600,"Murió ayer. Por una gripe H1N1 complicada con una meningitis. Por pelotuda. https://twitter.com/Bre_payton/status/80193161552605184 …","H1N1","2019-01-04T08:37:52Z","mis2centavos",-75.1425709,39.9653813,"Pennsylvania","Philadelphia"
"831",1081182140740579328,"La joven periodista de EE.UU. que se declaró antivacunas y falleció de H1N1 https://www.latercera.com/que-pasa/noticia/la-joven-periodista-de-ee-uu-que-se-declaro-antivacuna-y-fallecio-de-h1n1/469679/ …","H1N1","2019-01-04T08:34:44Z","CIRINARAMIREZ",-85.3096801,35.0456297,"Tennessee","Chattanooga"
"853",1081158857899028480,"Joven periodista de ultraderecha que se declaraba antivacunas murió por la gripe H1N1 https://www.cnnchile.com/mundo/joven-periodista-de-ultraderecha-que-se-declaraba-antivacunas-murio-por-la-gripe-h1n1_20190104/ …","H1N1","2019-01-04T07:02:13Z","afrmex",-94.6669525,29.7858129,"Texas","Anahuac"
